Time,Channel 1,Channel 2
0.0024,-99.4986,-160.7971
0.0055,141.9497,-81.5637
0.0095,-114.1386,-26.3885
0.0139,-48.2123,183.8396
0.0176,171.793,82.7922
0.022,-100.2366,16.8955
0.0252,133.1868,-198.2731
0.0293,-126.0553,-96.6002
0.0326,-59.5403,149.6892
0.0365,73.4068,73.8825
0.0408,-47.9822,20.9045
0.0443,164.4766,-187.6082
0.0486,-110.5329,-84.3352
0.0528,-54.9473,160.6827
0.0556,-16.646,81.6451
0.0594,5.1818,27.0819
0.0643,194.1056,-184.0005
0.0686,79.3048,-82.6643
0.0722,-170.4291,160.8978
0.0759,-91.8014,81.4254
0.0794,-36.065,26.5012
0.0833,176.9791,-184.6677
0.088,78.2,-83.4371
0.0913,-163.9859,160.5528
0.0953,-82.4035,81.1842
0.0989,-26.4029,26.3544
0.1035,185.1274,-184.7408
0.1072,84.0041,-83.4599
0.1107,-160.5528,160.3846
0.1147,-80.6001,81.3202
0.1193,-25.745,26.4485
0.1221,185.0842,-184.6844
0.1269,83.4328,-83.4325
0.1309,-160.9478,-16.2709
0.1349,-81.0121,197.5152
0.1379,-23.1189,96.3118
0.1425,182.8705,-150.2125
0.146,82.261,-73.3866
0.1494,-161.9092,-20.6697
0.1537,-81.176,186.9683
0.1571,152.0676,84.0553
0.1615,68.099,-160.7297
0.1655,13.139,-81.5645
0.1702,-195.5919,-26.4242
0.1739,-91.2431,183.6171
0.1776,156.0324,82.8616
0.1811,-99.6402,16.9282
0.1854,142.2637,-198.2649
0.1888,-114.1693,-96.431
0.1931,-48.2398,149.5622
0.1967,171.4216,73.0996
0.2012,-100.021,21.3189
0.2053,133.3171,-187.3495
0.2083,-125.8159,-84.2007
0.2125,-59.8111,160.7304
0.2168,-14.2735,81.6401
0.2198,9.6429,27.0507
0.224,199.2288,-184.04
0.228,25.9396,-82.7012
0.2313,-128.312,160.6933
0.2358,-66.1029,81.52
0.2401,-23.193,26.5583
0.2431,181.236,-184.6398
0.2476,76.952,-83.4288
0.251,-167.6752,160.5495
0.2553,-86.7177,81.1755
0.2593,-30.3017,26.3445
0.2635,182.1077,-184.7498
0.2669,81.9518,-83.4668
0.2718,-161.7574,160.38
0.2755,-81.1634,81.3175
0.2785,-25.8825,26.4473
0.2831,185.189,-184.6847
0.2873,83.8194,-83.4322
0.291,-161.0076,-16.0953
0.2946,-80.766,197.2257
0.2986,-25.734,96.3579
0.3031,184.834,-150.3519
0.3067,83.4413,-73.2474
0.3101,-161.158,-20.4112
0.3146,-81.1237,186.8939
0.3176,151.9268,84.1728
0.3216,67.883,-160.884
0.3256,12.9212,-81.657
0.3296,-195.7734,-26.1189
0.3336,-91.375,183.3743
0.3381,156.1237,82.7288
0.3419,-73.8871,-161.1896
0.3454,125.1589,-81.1503
0.3484,-124.469,-25.9816
0.3529,-53.2834,184.1738
0.3574,170.466,83.382
0.3614,-99.938,17.341
0.3644,134.7953,-197.9779
0.3684,-124.0482,-96.4327
0.3731,-58.0212,149.7626
0.3767,163.7105,73.0195
0.3803,-105.7017,21.4584
0.3843,129.825,-187.296
0.3888,-127.2368,-84.2005
0.3939,-60.6251,160.7031
0.3957,-14.4616,81.6034
0.3999,10.1589,27.0153
0.4039,200.0185,-184.0685
0.4079,84.6892,-82.8966
0.4125,-166.2357,160.971
0.4154,-88.761,81.468
0.4197,-34.4865,26.5208
0.4236,177.8869,-184.6633
0.4275,78.4331,-83.6163
0.4311,-164.3146,160.4849
0.4368,-82.6146,81.3601
0.4388,-26.8677,26.4506
0.4442,184.6116,-184.7021
0.4472,83.9002,-83.4573
0.4505,-160.7773,-16.2952
0.4545,-80.323,197.1452
0.46,-25.2574,96.5276
0.4632,184.7213,-150.2576
0.4664,83.395,-73.208
0.471,-161.1621,-20.4067
0.4741,-81.1055,186.7046
0.4787,152.1285,84.4414
0.482,67.7943,-161.1262
0.4858,12.8736,-81.5951
0.4905,-195.9669,-26.2615
0.4943,-91.2602,183.5011
0.4979,156.2021,82.6223
0.5019,78.4856,-161.0477
0.5059,25.1409,-81.255
0.5109,-184.6338,-25.8451
0.5138,-83.0426,184.2358
0.5167,161.7657,82.8699
0.5208,-96.504,-160.3923
0.5256,143.7046,-80.8522
0.5291,-113.1453,-25.8159
0.5333,-49.0057,184.4182
0.5364,171.0922,83.4501
0.5404,-101.2955,17.3068
0.5444,132.6499,-198.0587
0.5491,51.3067,-96.5238
0.5521,-176.4505,149.5067
0.5562,92.3899,73.0728
0.5626,-141.333,21.4865
0.5646,118.7958,-187.2858
0.5686,54.8514,-84.3763
0.5728,-166.6694,160.6368
0.5769,104.4069,81.6047
0.5801,-130.0434,27.2263
0.5832,127.9591,-183.9609
0.5872,60.482,-82.8604
0.5913,-162.7653,160.7891
0.5953,106.2317,81.3802
0.5994,-129.0736,26.6715
0.6027,127.9738,-184.5909
0.6069,59.8281,-83.4214
0.6109,-163.301,-1.0715
0.6149,-1.1303,187.2858
0.6189,-58.8802,90.3417
0.6228,169.5892,-153.3242
0.6269,80.1753,-74.1477
0.6308,-157.3593,-20.0928
0.635,-73.9924,187.6092
0.6382,158.5031,85.4952
0.6422,73.5765,-160.1756
0.6462,17.0139,-80.8599
0.6502,-192.6771,-25.7625
0.6542,-89.8446,183.7935
0.6576,156.7629,82.9337
