timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
0.052892614,-0.302443719,1.631796673,-0.022534868,-0.302178334,Subject C,Distracted
0.049795452,-0.091633516,1.945121349,0.035528524,-0.127992849,Subject C,Distracted
0.0467177,0.076644594,2.009432468,0.084275828,0.049626636,Subject C,Distracted
0.043659721,0.013220905,2.019549528,0.083856222,0.010259603,Subject C,Distracted
0.040621873,-0.169453388,2.364232976,0.040248609,-0.192734956,Subject C,Distracted
0.037604507,-0.2268852,2.97937399,-0.002840706,-0.271802453,Subject C,Distracted
0.034607964,-0.096724094,3.297678575,-0.009616278,-0.069148584,Subject C,Distracted
0.03163258,0.057889434,2.9740709,0.01754258,0.245316872,Subject C,Distracted
0.028678681,0.086041727,2.437410212,0.05005278,0.387053706,Subject C,Distracted
0.025746588,0.023865148,2.42990126,0.061913282,0.284527481,Subject C,Distracted
0.022836613,6e-05,3.048708278,0.043662602,0.111732281,Subject C,Distracted
0.019949058,0.037425047,3.569058775,0.002695078,0.024246604,Subject C,Distracted
0.017084218,0.027928252,3.350391957,-0.038352839,-0.030123205,Subject C,Distracted
0.014242381,-0.091987289,2.669815078,-0.052096849,-0.181712167,Subject C,Distracted
0.011423825,-0.213872089,2.374861947,-0.031263894,-0.392464739,Subject C,Distracted
0.008628819,-0.171493501,2.776708106,-0.00385606,-0.463504176,Subject C,Distracted
0.005857622,0.035235666,3.218931755,-0.010382464,-0.307414706,Subject C,Distracted
0.003110487,0.211358679,2.91540469,-0.059230753,-0.095161038,Subject C,Distracted
0.000387657,0.196885775,2.011728704,-0.112860103,-0.045202976,Subject C,Distracted
-0.002310636,0.062367948,1.501127909,-0.127963221,-0.141652435,Subject C,Distracted
-0.004984164,0.00155826,2.05293214,-0.105770649,-0.185057009,Subject C,Distracted
-0.007632712,0.059206937,3.172122929,-0.090139751,-0.104493649,Subject C,Distracted
-0.010256071,0.071764218,3.710871759,-0.111801895,-0.080747826,Subject C,Distracted
-0.012854042,-0.084811444,3.142967935,-0.146428558,-0.292309481,Subject C,Distracted
-0.015426434,-0.286039271,2.131626824,-0.142514106,-0.626960469,Subject C,Distracted
-0.017973064,-0.304466775,1.755514119,-0.088315904,-0.768284173,Subject C,Distracted
-0.020493758,-0.130649305,2.323342269,-0.031638755,-0.575263575,Subject C,Distracted
-0.02298835,-0.017209226,3.166309143,-0.021791061,-0.272311903,Subject C,Distracted
-0.02545668,-0.152926304,3.554096991,-0.046157,-0.188873037,Subject C,Distracted
-0.027898597,-0.390270159,3.482312767,-0.045377223,-0.358378946,Subject C,Distracted
-0.03031396,-0.407856968,3.376929196,0.010801699,-0.475646002,Subject C,Distracted
-0.032702631,-0.120937766,3.314839554,0.083972348,-0.271747928,Subject C,Distracted
-0.035064485,0.19435018,2.950662463,0.111906956,0.152186588,Subject C,Distracted
-0.037399402,0.242843205,2.18265386,0.0789266,0.4387945,Subject C,Distracted
-0.039707268,0.082081303,1.473510151,0.027347338,0.389335753,Subject C,Distracted
-0.04198798,0.031942418,1.303855639,0.004645598,0.166960383,Subject C,Distracted
-0.044241439,0.23649955,1.546142636,0.016459146,0.050402618,Subject C,Distracted
-0.046467554,0.45654428,1.646283607,0.036760709,0.07140971,Subject C,Distracted
-0.04866624,0.366163188,1.348485725,0.049403723,0.008104311,Subject C,Distracted
-0.050837418,-0.031516234,1.004166185,0.063002233,-0.27412388,Subject C,Distracted
-0.052981017,-0.394554908,1.115643707,0.086868622,-0.605750493,Subject C,Distracted
-0.05509697,-0.435000895,1.719945607,0.108371503,-0.710623071,Subject C,Distracted
-0.057185221,-0.223702763,2.340482814,0.103425867,-0.545105172,Subject C,Distracted
-0.059245715,-0.066771589,2.530607758,0.065568169,-0.337664428,Subject C,Distracted
-0.061278407,-0.150207435,2.361427467,0.019192032,-0.30116534,Subject C,Distracted
-0.063283257,-0.381249174,2.265670658,0.00221417,-0.394339153,Subject C,Distracted
-0.06526023,-0.556670409,2.406509483,0.031942307,-0.410040169,Subject C,Distracted
-0.067209293,-0.599127613,2.392804849,0.084241809,-0.249101979,Subject C,Distracted
-0.069130419,-0.583666571,1.814928707,0.111008196,-0.026367822,Subject C,Distracted
-0.071023586,-0.575792475,0.958511225,0.086851521,0.110069885,Subject C,Distracted
-0.072888778,-0.522928,0.639079625,0.036872349,0.185030339,Subject C,Distracted
-0.074725978,-0.340751211,1.195741527,0.008520304,0.336084757,Subject C,Distracted
-0.076535171,-0.066522168,1.942298665,0.017262543,0.572836001,Subject C,Distracted
-0.078316346,0.145426094,1.933060286,0.034360764,0.715052083,Subject C,Distracted
-0.080069498,0.203888791,1.160913523,0.031626497,0.629570146,Subject C,Distracted
-0.08179463,0.199316075,0.621600948,0.02027476,0.44272002,Subject C,Distracted
-0.083491746,0.276469621,1.088366066,0.031050965,0.405196189,Subject C,Distracted
-0.085160844,0.412892766,2.124824263,0.066841933,0.571178326,Subject C,Distracted
-0.086801917,0.422663351,2.588166967,0.09597986,0.734322001,Subject C,Distracted
-0.088414979,0.222985119,1.993639306,0.095442211,0.712073463,Subject C,Distracted
-0.09000007,0.01764227,1.04505584,0.083971976,0.583117413,Subject C,Distracted
-0.091557225,0.111103695,0.709007473,0.098306216,0.558611887,Subject C,Distracted
-0.093086439,0.535434177,1.038628164,0.141788889,0.678149901,Subject C,Distracted
-0.094587671,0.949505302,1.234291345,0.174677447,0.741701443,Subject C,Distracted
-0.09606094,0.975751462,0.80516297,0.163425389,0.557121751,Subject C,Distracted
-0.097506379,0.606186139,0.256909334,0.125015393,0.183927523,Subject C,Distracted
-0.098924138,0.195533329,0.390647284,0.104557718,-0.119793299,Subject C,Distracted
-0.100314175,0.045504476,1.183093996,0.114951927,-0.176431743,Subject C,Distracted
-0.101676247,0.090506707,1.760860928,0.1208799,-0.06800283,Subject C,Distracted
-0.103010271,0.063777381,1.479175993,0.087742075,-0.013974275,Subject C,Distracted
-0.104316696,-0.101740449,0.663793354,0.027575449,-0.100807345,Subject C,Distracted
-0.10559619,-0.18587059,0.096706896,-0.017456352,-0.196551369,Subject C,Distracted
-0.106848667,-0.021192992,0.020949606,-0.026182629,-0.154123586,Subject C,Distracted
-0.108072934,0.219541399,0.001575035,-0.015245238,-0.029091173,Subject C,Distracted
