timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
0.032934122,-0.119927435,-0.097576977,-0.22334018,-0.734648493,Subject B,Focused
0.032791534,-0.73487585,-0.099114603,-0.212804667,-0.761357389,Subject B,Focused
0.032641103,-1.03373857,-0.049985724,-0.181802375,-0.711895734,Subject B,Focused
0.032482892,-0.62426889,0.039386201,-0.132392869,-0.636317123,Subject B,Focused
0.032316967,0.01933279,0.11382865,-0.076665218,-0.584386236,Subject B,Focused
0.032143395,0.161850125,0.117421578,-0.029516831,-0.557050418,Subject B,Focused
0.031962249,-0.274725569,0.048794664,0.002713637,-0.494834117,Subject B,Focused
0.031773601,-0.652089653,-0.029626906,0.02441115,-0.337952711,Subject B,Focused
0.03157753,-0.464646277,-0.042566791,0.040655753,-0.109850179,Subject B,Focused
0.031374113,0.022224288,0.035089807,0.049668372,0.075463967,Subject B,Focused
0.03116343,0.164896362,0.160542153,0.050760808,0.119218097,Subject B,Focused
0.030945563,-0.179041052,0.259976674,0.055783793,0.055042556,Subject B,Focused
0.030720593,-0.464260614,0.282317516,0.081726339,0.026759829,Subject B,Focused
0.030488606,-0.209931785,0.227040078,0.129249339,0.126630922,Subject B,Focused
0.030249685,0.32776509,0.132538464,0.177777267,0.286067194,Subject B,Focused
0.030003913,0.479508384,0.042939569,0.207465395,0.363012413,Subject B,Focused
0.029751378,0.055871951,-0.018502746,0.218054866,0.307623785,Subject B,Focused
0.029492164,-0.39254334,-0.052427042,0.218272211,0.182279284,Subject B,Focused
0.02922636,-0.300078822,-0.065682365,0.205104766,0.034695063,Subject B,Focused
0.028954052,0.17755405,-0.053400336,0.168070475,-0.159496573,Subject B,Focused
0.028675329,0.396076115,-0.003240919,0.112896773,-0.396269252,Subject B,Focused
0.028390278,0.096379006,0.079982813,0.066454316,-0.567033391,Subject B,Focused
0.028098989,-0.257549396,0.161090331,0.051533955,-0.564473104,Subject B,Focused
0.027801551,-0.116677324,0.197165603,0.064098668,-0.437089589,Subject B,Focused
0.027498054,0.4060899,0.175401396,0.082506441,-0.357506326,Subject B,Focused
0.027188588,0.679739412,0.122958058,0.095381216,-0.422350935,Subject B,Focused
0.026873244,0.392608828,0.079760585,0.111474194,-0.539863392,Subject B,Focused
