timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.05156337,0.265178102,0.123364414,-0.009189908,0.171795867,Subject C,Focused
-0.051423044,-0.03795332,0.131483608,-0.036460551,0.043025237,Subject C,Focused
-0.051272791,0.089737628,0.152758372,-0.023111678,0.096093691,Subject C,Focused
-0.051112597,0.518773513,0.186060911,0.020913213,0.338290559,Subject C,Focused
-0.050942431,0.734686046,0.215767445,0.058130844,0.544717468,Subject C,Focused
-0.050762272,0.5094579,0.236446636,0.064016078,0.540304767,Subject C,Focused
-0.050572109,0.189697075,0.264421542,0.046698749,0.393018165,Subject C,Focused
-0.050371938,0.208184081,0.315286228,0.029133267,0.29783054,Subject C,Focused
-0.050161749,0.474581996,0.37384125,0.021047406,0.326739159,Subject C,Focused
-0.049941533,0.480516779,0.396996154,0.013581993,0.361037957,Subject C,Focused
-0.049711283,0.003418302,0.352894695,-0.002176114,0.263590431,Subject C,Focused
-0.049470997,-0.527922245,0.25606911,-0.018249683,0.051516237,Subject C,Focused
-0.049220678,-0.530356556,0.159764576,-0.014105558,-0.131780969,Subject C,Focused
-0.048960327,-0.01719773,0.112496772,0.022880629,-0.176634631,Subject C,Focused
-0.04868995,0.37936976,0.123387287,0.081529194,-0.104314621,Subject C,Focused
-0.048409554,0.182242629,0.166107839,0.131754038,-0.021557849,Subject C,Focused
-0.048119146,-0.339695161,0.207990095,0.148631824,-0.003377843,Subject C,Focused
-0.047818739,-0.532526302,0.233976639,0.134539895,-0.02403607,Subject C,Focused
-0.047508345,-0.197656082,0.250691613,0.115004898,-0.008822813,Subject C,Focused
-0.04718798,0.193877989,0.271505614,0.109829851,0.049501089,Subject C,Focused
-0.046857663,0.171194622,0.293761337,0.113205883,0.071833943,Subject C,Focused
-0.046517414,-0.11094307,0.292415709,0.108477628,0.026320777,Subject C,Focused
-0.046167258,-0.128930641,0.246330629,0.096645854,0.024936892,Subject C,Focused
-0.045807223,0.251209089,0.17232852,0.097742658,0.195599912,Subject C,Focused
-0.045437339,0.561335624,0.11987643,0.123435555,0.470541901,Subject C,Focused
-0.04505764,0.348908972,0.122710238,0.15942876,0.607026524,Subject C,Focused
-0.044668163,-0.212585556,0.163874219,0.178982649,0.46119817,Subject C,Focused
-0.044268948,-0.531888315,0.19918508,0.166164541,0.171136376,Subject C,Focused
-0.043860036,-0.341727656,0.208546959,0.122603813,0.003284445,Subject C,Focused
-0.043441476,-0.005691289,0.208762397,0.060687232,0.046937562,Subject C,Focused
-0.043013314,-0.021970218,0.216319549,-0.00117113,0.12907955,Subject C,Focused
-0.042575603,-0.395399907,0.21578678,-0.041558753,0.0428177,Subject C,Focused
-0.042128397,-0.670611114,0.176970857,-0.047152336,-0.196660283,Subject C,Focused
-0.041671753,-0.532775991,0.0957944,-0.025933352,-0.377188325,Subject C,Focused
-0.041205733,-0.18474572,0.0050464,-0.003330757,-0.357378887,Subject C,Focused
-0.040730398,-0.054431876,-0.0560868,0.001323324,-0.242280995,Subject C,Focused
-0.040245815,-0.248655538,-0.073840368,-0.007141466,-0.246533348,Subject C,Focused
-0.039752051,-0.446620375,-0.05989133,-0.010005561,-0.419813613,Subject C,Focused
-0.039249177,-0.339021914,-0.032550241,-0.000623871,-0.590397203,Subject C,Focused
-0.038737269,-0.039994136,-0.007747179,0.008582432,-0.596456657,Subject C,Focused
-0.038216403,0.054036125,0.00109013,0.007635642,-0.486381754,Subject C,Focused
