timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.025153068,-0.54493631,0.109690091,-0.200482588,-0.129267761,Subject D,neutral
-0.024850086,-0.531335542,0.119140486,-0.156711048,-0.311591879,Subject D,neutral
-0.024478693,-0.280774873,0.069120393,-0.041290602,-0.31013755,Subject D,neutral
-0.024071715,-0.130143817,-0.019915896,0.093410307,-0.14764895,Subject D,neutral
-0.023689087,-0.270019261,-0.098772594,0.161634987,-0.051608425,Subject D,neutral
-0.023363634,-0.474851934,-0.132084535,0.135882589,-0.173075778,Subject D,neutral
-0.023077315,-0.389273438,-0.123911854,0.074779818,-0.394544892,Subject D,neutral
-0.022789775,-0.009542886,-0.10569424,0.047961451,-0.481060684,Subject D,neutral
-0.022479315,0.272338251,-0.103215352,0.05247953,-0.387875772,Subject D,neutral
-0.022152356,0.14206778,-0.115423341,0.027585809,-0.31780399,Subject D,neutral
-0.02182344,-0.239335826,-0.12141312,-0.053106273,-0.440945302,Subject D,neutral
-0.021496897,-0.424731741,-0.10414679,-0.134099935,-0.648465494,Subject D,neutral
-0.021167219,-0.219690461,-0.066887127,-0.13945111,-0.680889551,Subject D,neutral
-0.02082924,0.116502586,-0.027719651,-0.067587826,-0.468544678,Subject D,neutral
-0.020483325,0.252328828,0.001387194,-0.001602009,-0.229151554,Subject D,neutral
-0.020132548,0.227032871,0.028623926,-0.020739732,-0.189137029,Subject D,neutral
-0.019778367,0.357916561,0.071643804,-0.116385434,-0.294523491,Subject D,neutral
-0.01941991,0.7389794,0.130320848,-0.208757687,-0.28986852,Subject D,neutral
-0.019055982,1.020903316,0.174792383,-0.240889013,-0.065121515,Subject D,neutral
-0.018686498,0.805145849,0.169793212,-0.235411786,0.176980102,Subject D,neutral
-0.018312133,0.171192489,0.114179644,-0.249323889,0.158681301,Subject D,neutral
-0.017933348,-0.346124981,0.050118675,-0.294169536,-0.119448517,Subject D,neutral
-0.017550081,-0.336166316,0.02619383,-0.329744403,-0.361201388,Subject D,neutral
-0.01716211,0.040692058,0.051763517,-0.33086995,-0.327359222,Subject D,neutral
-0.016769421,0.274142207,0.091486971,-0.323699447,-0.112044479,Subject D,neutral
-0.016372198,0.115025252,0.103334319,-0.338641683,0.007957943,Subject D,neutral
-0.01597061,-0.170261024,0.07603877,-0.352991077,-0.059872741,Subject D,neutral
-0.015564717,-0.190503304,0.029698874,-0.3125827,-0.125548237,Subject D,neutral
-0.015154526,0.057849771,-0.008887107,-0.208273606,0.00425589,Subject D,neutral
-0.014740081,0.210946851,-0.022336213,-0.102476127,0.259160544,Subject D,neutral
-0.014321472,0.032069127,-0.003661064,-0.063425409,0.396831104,Subject D,neutral
-0.013898799,-0.287754514,0.039071183,-0.086700907,0.312346251,Subject D,neutral
-0.013472137,-0.399227911,0.075190904,-0.105064727,0.155486327,Subject D,neutral
-0.013041553,-0.243531527,0.067127822,-0.076665859,0.121646818,Subject D,neutral
-0.012607116,-0.086830436,0.009072843,-0.03782645,0.206588232,Subject D,neutral
-0.012168913,-0.134236148,-0.057763131,-0.049363199,0.238396934,Subject D,neutral
-0.011727032,-0.262500911,-0.083231263,-0.10579698,0.123472066,Subject D,neutral
-0.011281558,-0.207472301,-0.060012184,-0.130148427,-0.024497992,Subject D,neutral
-0.010832575,0.080220862,-0.028396908,-0.067420023,-0.029429643,Subject D,neutral
-0.010380168,0.389226384,-0.034285509,0.042426317,0.132863616,Subject D,neutral
-0.009924422,0.532740436,-0.093311841,0.109704757,0.325420952,Subject D,neutral
-0.009465428,0.546646655,-0.190652051,0.102100898,0.43132449,Subject D,neutral
-0.009003274,0.552330666,-0.297860432,0.073715739,0.469793196,Subject D,neutral
-0.00853805,0.52822742,-0.384823737,0.081525026,0.51023745,Subject D,neutral
-0.008069843,0.342433918,-0.429080265,0.107212862,0.534808929,Subject D,neutral
-0.007598747,0.003081451,-0.426397713,0.08890373,0.458890926,Subject D,neutral
-0.007124853,-0.245544591,-0.393180233,0.011989499,0.284577162,Subject D,neutral
-0.006648257,-0.167047013,-0.35649211,-0.066603022,0.159557542,Subject D,neutral
-0.006169053,0.159736705,-0.340981029,-0.087746723,0.221122466,Subject D,neutral
-0.005687338,0.381888259,-0.357912117,-0.058131081,0.399951501,Subject D,neutral
-0.005203209,0.263894337,-0.394752182,-0.034384185,0.456815976,Subject D,neutral
-0.004716765,-0.036389988,-0.415308866,-0.051738495,0.257992353,Subject D,neutral
-0.004228103,-0.168788496,-0.385835964,-0.088636295,-0.032500823,Subject D,neutral
-0.003737323,-0.028805174,-0.31348779,-0.10497646,-0.111022881,Subject D,neutral
-0.003244525,0.132230253,-0.252024005,-0.094703255,0.114760617,Subject D,neutral
-0.002749809,0.069441216,-0.253813826,-0.07770279,0.407546842,Subject D,neutral
-0.002253275,-0.109282015,-0.314592207,-0.046898924,0.47219747,Subject D,neutral
-0.001755025,-0.084325901,-0.377447094,0.040728074,0.287968831,Subject D,neutral
-0.001255157,0.236284537,-0.393522462,0.20114627,0.098037609,Subject D,neutral
-0.000753773,0.57273575,-0.367010775,0.375074746,0.090990065,Subject D,neutral
-0.000250972,0.618161285,-0.337805821,0.475120957,0.183578807,Subject D,neutral
0.000253143,0.416142951,-0.334730716,0.479925609,0.15837705,Subject D,neutral
0.000758472,0.284302386,-0.354831477,0.457118259,-0.042674037,Subject D,neutral
0.001264914,0.398633175,-0.376906668,0.482292027,-0.241208865,Subject D,neutral
0.001772366,0.581739265,-0.380707994,0.548296966,-0.243666684,Subject D,neutral
0.002280726,0.557293386,-0.355442509,0.572221072,-0.070626259,Subject D,neutral
0.002789894,0.327964301,-0.302162719,0.493924295,0.092960123,Subject D,neutral
0.003299766,0.178675598,-0.232147165,0.350983625,0.148497753,Subject D,neutral
0.003810238,0.294997862,-0.157444104,0.241102553,0.197403943,Subject D,neutral
0.004321207,0.498431968,-0.080992101,0.219448471,0.367980428,Subject D,neutral
0.004832568,0.466542485,-0.002208576,0.255233864,0.598513688,Subject D,neutral
0.005344215,0.16800075,0.06481523,0.289630477,0.685784735,Subject D,neutral
0.005856038,-0.070101113,0.088358952,0.30864051,0.548877638,Subject D,neutral
0.00636793,0.021335434,0.047119758,0.339069669,0.357421546,Subject D,neutral
0.006879779,0.295815707,-0.03789856,0.387363649,0.342878754,Subject D,neutral
0.007391474,0.382293089,-0.109102481,0.413833543,0.528272437,Subject D,neutral
0.007902902,0.182656857,-0.117043145,0.380269446,0.720323494,Subject D,neutral
0.008413948,0.008793054,-0.061396039,0.307454181,0.764699335,Subject D,neutral
0.008924496,0.168692968,0.010335917,0.262073277,0.724811723,Subject D,neutral
0.009434431,0.546803331,0.043832571,0.280139285,0.756526619,Subject D,neutral
0.009943636,0.729209913,0.022078489,0.318136347,0.864590068,Subject D,neutral
0.010451993,0.511454936,-0.025477036,0.298110149,0.885393293,Subject D,neutral
0.010959385,0.143377356,-0.055032233,0.201325741,0.725525535,Subject D,neutral
0.011465696,0.013325723,-0.048210963,0.099032435,0.523261785,Subject D,neutral
0.011970807,0.180651937,-0.020139746,0.077393083,0.492778786,Subject D,neutral
0.0124746,0.337752619,0.005347904,0.142089025,0.640904336,Subject D,neutral
0.012976957,0.224602937,0.019849898,0.216303998,0.731108815,Subject D,neutral
0.013477757,-0.04714944,0.031787605,0.232741029,0.558896075,Subject D,neutral
0.013976882,-0.159783464,0.055965013,0.206005143,0.206232053,Subject D,neutral
0.01447421,-0.001870263,0.105524334,0.200093125,-0.034050814,Subject D,neutral
0.014969622,0.209565182,0.179483636,0.239345809,0.02459007,Subject D,neutral
0.015463,0.224507105,0.244737989,0.279448533,0.268318232,Subject D,neutral
0.015954225,0.060112799,0.243976794,0.272752801,0.41798104,Subject D,neutral
0.01644318,-0.075764617,0.151200976,0.237302736,0.318200073,Subject D,neutral
0.016929748,-0.097902307,0.025242944,0.233367286,0.049137383,Subject D,neutral
0.017413815,-0.156103909,-0.021304304,0.274377921,-0.238091395,Subject D,neutral
0.017895268,-0.412211347,0.067588837,0.292916955,-0.529601947,Subject D,neutral
0.018373995,-0.81004305,0.222503901,0.218044287,-0.934662186,Subject D,neutral
0.018849885,-1.155693777,0.314513854,0.07154323,-1.485867466,Subject D,neutral
0.019322828,-1.384375908,0.28886378,-0.044605192,-2.044159083,Subject D,neutral
0.019792715,-1.6420324,0.211812572,-0.059287975,-2.462390421,Subject D,neutral
0.020259437,-2.077758197,0.180724203,0.000144369,-2.796049964,Subject D,neutral
0.020722888,-2.639365075,0.209415668,0.067133488,-3.258942938,Subject D,neutral
0.021182959,-3.155958474,0.221644024,0.131963664,-3.963233645,Subject D,neutral
0.021639544,-3.599370264,0.153447512,0.237536206,-4.791739194,Subject D,neutral
0.022092535,-4.159440344,0.039808638,0.384916775,-5.568335168,Subject D,neutral
0.022541827,-4.991913232,-0.018036376,0.493026975,-6.268274546,Subject D,neutral
0.022987312,-5.93824765,0.034560657,0.485561494,-6.968179926,Subject D,neutral
0.023428885,-6.607413135,0.148222582,0.39623976,-7.636359897,Subject D,neutral
0.023866442,-6.783180805,0.230473829,0.345416068,-8.10249439,Subject D,neutral
0.024299875,-6.680520513,0.241400531,0.40636128,-8.271293501,Subject D,neutral
0.024729082,-6.71349512,0.213320889,0.526477802,-8.275133289,Subject D,neutral
0.025153959,-7.030837351,0.194156874,0.59916554,-8.332457595,Subject D,neutral
0.025574404,-7.373735905,0.197787564,0.590216337,-8.483673918,Subject D,neutral
0.025990315,-7.414906765,0.208637306,0.561200794,-8.554343694,Subject D,neutral
0.026401594,-7.14932,0.212242744,0.574263149,-8.400818402,Subject D,neutral
0.026808141,-6.867218784,0.207833351,0.612945464,-8.110506633,Subject D,neutral
0.027209856,-6.775363458,0.197959815,0.615761485,-7.879575243,Subject D,neutral
0.027606641,-6.754855082,0.180082354,0.560218437,-7.731480667,Subject D,neutral
0.027998399,-6.542871979,0.153379989,0.481740424,-7.472570554,Subject D,neutral
0.028385032,-6.080424847,0.126216872,0.420055116,-6.962828658,Subject D,neutral
0.028766445,-5.569889914,0.107980145,0.378199016,-6.334591416,Subject D,neutral
0.029142542,-5.18039811,0.09412289,0.337059721,-5.842639158,Subject D,neutral
0.029513229,-4.814937752,0.065320768,0.28639421,-5.5257579,Subject D,neutral
0.029878412,-4.271524801,0.003715681,0.230444532,-5.134792465,Subject D,neutral
0.030237999,-3.577654496,-0.090226564,0.176280091,-4.447512814,Subject D,neutral
0.030591897,-3.008702547,-0.194959609,0.131720827,-3.572383556,Subject D,neutral
0.030940017,-2.725637086,-0.281094684,0.112713583,-2.837064232,Subject D,neutral
0.03128227,-2.521837505,-0.331277531,0.13504419,-2.392831288,Subject D,neutral
0.031618568,-2.060267191,-0.351024124,0.183182648,-2.039007042,Subject D,neutral
0.031948827,-1.32161024,-0.361039251,0.194263722,-1.488169721,Subject D,neutral
0.032272959,-0.669122085,-0.378355819,0.101095723,-0.734263044,Subject D,neutral
0.032590883,-0.415531579,-0.401824276,-0.08864927,-0.068663893,Subject D,neutral
0.032902517,-0.430806635,-0.411734706,-0.267447853,0.269249248,Subject D,neutral
0.033207779,-0.296135079,-0.386388005,-0.311215987,0.38003809,Subject D,neutral
0.033506593,0.182322067,-0.327947482,-0.201166149,0.58040117,Subject D,neutral
0.033798878,0.752061909,-0.271758562,-0.051801801,1.0172079,Subject D,neutral
0.03408456,1.06463996,-0.256955565,-0.004857138,1.500891465,Subject D,neutral
